type	entity
ORGANIZATION	Department of Information Science
ORGANIZATION	Departments of Information Technology Management and Information Science
ORGANIZATION	University at Albany State University of New York Ersin Dincelli Ph D
ORGANIZATION	Department of Information Science
ORGANIZATION	Departments of Information Technology Management and Information Science
ORGANIZATION	University at Albany the State University of New York Home About Login
PERSON	Nic DePaula
PERSON	Ersin Dincelli
ORGANIZATION	Facebook
LOCATION	United States
PERSON	Greenwood
LOCATION	Albuquerque New Mexico
ORGANIZATION	European Union Commission Unlike
PERSON	Klang
PERSON	Meijer
PERSON	Mergel
PERSON	Barack Obama
PERSON	Obama
PERSON	Mergel
ORGANIZATION	Facebook Facebook
ORGANIZATION	Instagram
LOCATION	United States
ORGANIZATION	Facebook
PERSON	Sandoval Almazan
PERSON	Kavanaugh
PERSON	Hagen
PERSON	Sandoval Almazan
PERSON	Gil Garcia
ORGANIZATION	Facebook We
ORGANIZATION	Facebook
ORGANIZATION	Facebook
PERSON	Harrison
PERSON	Mergel
PERSON	Nadkarni
PERSON	Hofmann
PERSON	Penney
PERSON	Bellstr
ORGANIZATION	Facebook
PERSON	Klang
PERSON	Mergel
ORGANIZATION	Facebook
PERSON	DePaula
PERSON	Bertot
PERSON	Harrison
PERSON	Graham
PERSON	Hagen
PERSON	Mergel
PERSON	Williams
PERSON	Hofmann
PERSON	DePaula
PERSON	Ellison
PERSON	Nadkarni
PERSON	Hofmann
PERSON	Donath
ORGANIZATION	Facebook Penney
PERSON	Treem
PERSON	Leonardi
PERSON	DePaula
PERSON	Donath
PERSON	Hofmann
PERSON	Mergel
PERSON	Lappas
PERSON	Grusin
PERSON	Fatima Oliveira
ORGANIZATION	Facebook
PERSON	Lappas
PERSON	Lappas
PERSON	Zavattaro
PERSON	Bons
PERSON	Mergel
PERSON	Lee
PERSON	Berger
PERSON	Bons
PERSON	Berger
PERSON	Bons
ORGANIZATION	Facebook
PERSON	Bons
PERSON	Swani
PERSON	Swani
PERSON	Lee
PERSON	Lee
PERSON	Stieglitz
PERSON	Dang Xuan
PERSON	Berger
PERSON	Hofmann
ORGANIZATION	Facebook
PERSON	Hofmann
PERSON	Fehr
PERSON	Berger
PERSON	Rana
PERSON	Stieglitz
PERSON	Johannessen
PERSON	Hofmann
PERSON	Johannessen
PERSON	Johannessen
ORGANIZATION	Facebook
ORGANIZATION	Facebook
ORGANIZATION	Facebook
PERSON	DePaula
PERSON	DePaula
ORGANIZATION	Facebook
PERSON	Shapiro Wilk
PERSON	Levene
PERSON	Welch
PERSON	Siegel
PERSON	Castellan
ORGANIZATION	Facebook
ORGANIZATION	Facebook
ORGANIZATION	Facebook
LOCATION	New York
ORGANIZATION	Parks and Recreation Department
ORGANIZATION	Facebook
