type	entity
PERSON	Michael Skakel
PERSON	Michael Skakel
PERSON	Michael Skakel
PERSON	Michael Fitzpatrick
PERSON	Skakel
LOCATION	Alabama
PERSON	Pres Trump
PERSON	Blanke
PERSON	Trump
ORGANIZATION	Congress
PERSON	Pres Trump
ORGANIZATION	CIA
PERSON	Boris Johnson
LOCATION	Washington
PERSON	Trump
PERSON	Trump
PERSON	Blankenship
PERSON	Jenkins
PERSON	Morrisey
ORGANIZATION	Senate
LOCATION	Hawaii
LOCATION	Big Island
LOCATION	Hawaii
PERSON	HueyLewis
LOCATION	Cape Town
ORGANIZATION	Democratic Sen Joe Manchin
LOCATION	Washington
LOCATION	Moscow
PERSON	Vladimir Putin
LOCATION	Russia
PERSON	Gina Haspel
PERSON	Trump
ORGANIZATION	CIA
LOCATION	Hawaii
LOCATION	Big Island
PERSON	Trump
LOCATION	London
PERSON	Rudy Giuliani
PERSON	Trump
LOCATION	Iran
PERSON	Rouhani
LOCATION	Iowa
LOCATION	America
LOCATION	France
PERSON	Macron
LOCATION	Montana
PERSON	Sen Jon Tester
PERSON	Trump
PERSON	Giuliani
PERSON	Mueller
PERSON	Dershowitz Trump
PERSON	Mueller
LOCATION	Hawaii
LOCATION	North Korea
PERSON	Trump Kim
ORGANIZATION	NFL
ORGANIZATION	NBCNewsTHINK RT
PERSON	Giuliani
PERSON	Trump
PERSON	Mueller
LOCATION	Russia
PERSON	Rudy Giuliani
PERSON	Robert Mueller
LOCATION	America
LOCATION	West Virginia
LOCATION	America
PERSON	Michelle Knight
PERSON	Ariel Castro
ORGANIZATION	House GOP
PERSON	Trump
ORGANIZATION	Senate
LOCATION	Dw8glk1Hta America
PERSON	Rouhani
LOCATION	Hawaii
LOCATION	Big Island
PERSON	Gina Haspel
ORGANIZATION	CIA
PERSON	Tut
PERSON	Rudy Giuliani
PERSON	Trump
LOCATION	Russia
ORGANIZATION	University of California
PERSON	Michael Cohen
LOCATION	Hawaii
ORGANIZATION	USGS
PERSON	Picasso
PERSON	Monet
PERSON	Mona Eltahawy
ORGANIZATION	NBCNewsMACH RT MSNBC
LOCATION	White House
ORGANIZATION	CIA
PERSON	Gina Haspel
ORGANIZATION	CIA
ORGANIZATION	N LesterHoltNBC
LOCATION	Hawaii
PERSON	John McCain
ORGANIZATION	White House
PERSON	Trump
PERSON	Meek Mill
PERSON	Syreeta McFadden Rachel Dolezal
LOCATION	Hawaii
LOCATION	Big Island
PERSON	Rudy Giuliani
PERSON	Trump
LOCATION	Russia
PERSON	Michael Cohen
ORGANIZATION	NFL
LOCATION	Afghanistan
PERSON	Trump
LOCATION	Virginia
PERSON	Rachel Dolezal
PERSON	Dershowitz Trump
PERSON	Mueller
PERSON	Michael Avenatti
PERSON	Rudy Giuliani
PERSON	Stormy Daniels
PERSON	Michael Cohen
PERSON	Giuliani
PERSON	Trump
ORGANIZATION	Muelle RT
PERSON	Giuliani
PERSON	Trump
ORGANIZATION	Muelle RT
PERSON	Chuck
PERSON	Stormy Daniels
ORGANIZATION	White House
PERSON	Trump
LOCATION	West Virginia
LOCATION	Indiana
ORGANIZATION	Senate
PERSON	MichaelAvenatti
PERSON	Micha RT MeetThePress
ORGANIZATION	American People MTP
PERSON	Trump
PERSON	Hassan Rouhani
LOCATION	Iran
PERSON	Trump
PERSON	Daniels
PERSON	Trump
PERSON	Michelle Knight
PERSON	Ariel Castro
LOCATION	North Korea
PERSON	Trump Kim
PERSON	Rachel Dolezal
ORGANIZATION	House GOP
PERSON	Trump
ORGANIZATION	Senate
PERSON	Emmanuel Macron
PERSON	Trump
ORGANIZATION	NBCNewsWorld Five
LOCATION	Hawaii
PERSON	Leilani Estates
LOCATION	Big Island
LOCATION	Kilauea
PERSON	Joe
ORGANIZATION	TSA
LOCATION	New Jersey
PERSON	Jesus
PERSON	Jeffrey McCall
PERSON	Christ
ORGANIZATION	144th Kentucky Derby
ORGANIZATION	Churchill Downs
PERSON	Kennedy
PERSON	Michael Skakel
ORGANIZATION	Kensington Palace
PERSON	Charlotte
LOCATION	Prince Louis
LOCATION	Kensington Palace
PERSON	Louis
PERSON	Kate
LOCATION	Cambridge
ORGANIZATION	Ford
ORGANIZATION	Kentucky Derby
ORGANIZATION	Churchill Downs NBCSports
ORGANIZATION	Ex Redskins
LOCATION	Costa Rica
PERSON	Trump
LOCATION	London
PERSON	Barack Obama
PERSON	George W Bush
PERSON	McCain
PERSON	John McCain
PERSON	Trump
ORGANIZATION	White House
PERSON	Hassan al Kontar
ORGANIZATION	Kentucky Derby
PERSON	Mueller
PERSON	Trump
PERSON	Tom Barrack
PERSON	Trump
LOCATION	Cleveland Ohio
ORGANIZATION	NASA
LOCATION	Russia
PERSON	Putin
ORGANIZATION	NASA
LOCATION	Mars
LOCATION	Texas
PERSON	George H W Bush
PERSON	Trump
LOCATION	Kentucky Derby
LOCATION	International Space Station
LOCATION	Earth
ORGANIZATION	9iU3asj2GL Jack Jacobs Being
PERSON	Trump
LOCATION	Iowa
LOCATION	America
LOCATION	Vandenberg Air Force Base
LOCATION	California
ORGANIZATION	NASA
LOCATION	Vandenberg Air Force Base
LOCATION	California
ORGANIZATION	Brothers Jose
PERSON	Hofburg
PERSON	Velazquez
ORGANIZATION	Cinco de Mayo
LOCATION	Red Planet
LOCATION	Buckingham Palace
LOCATION	Israel
PERSON	Jameela Jamil
LOCATION	United States
LOCATION	China
ORGANIZATION	Deferred Action for Childhood Arrivals DACA
LOCATION	Hawaii
LOCATION	Kilauea
ORGANIZATION	ngepFj8fbU State
LOCATION	Oklahoma
LOCATION	Kansas
LOCATION	Kansas
PERSON	Junot Diaz
PERSON	Albert Pujols
PERSON	Mike Leake
PERSON	Bam Mendiola
PERSON	David Faris
PERSON	Trump
PERSON	Giuliani
PERSON	Dani
PERSON	Mike Pence
LOCATION	White House
ORGANIZATION	White House
PERSON	Ronny Jac
ORGANIZATION	Southwest Airlines
ORGANIZATION	FAA
PERSON	Alex Tausanovitch
ORGANIZATION	NRA
ORGANIZATION	CBS News
PERSON	Charlie Rose
ORGANIZATION	NBC Asian America
LOCATION	AMERICA
PERSON	Lester Holt
ORGANIZATION	Americans National Weather Service
LOCATION	Kalapana
LOCATION	Kilauea
ORGANIZATION	Connecticut Supreme Court
PERSON	Kennedy
PERSON	Michael Skakel
LOCATION	Hawaii County Civil Defense
LOCATION	Ohio National Guardsmen
ORGANIZATION	Kent State Univ
PERSON	Daum
LOCATION	New York
PERSON	Allison Mack
PERSON	Robert Mueller
PERSON	George H W Bush
ORGANIZATION	Methodist Hospital
LOCATION	Houston
ORGANIZATION	USGS
LOCATION	Leilani Estates
LOCATION	Hawaii
PERSON	Trump
LOCATION	Kanye West
ORGANIZATION	NRA
PERSON	Trump
ORGANIZATION	MhsvyRz8Wc National Weather Service
LOCATION	Kilauea
ORGANIZATION	RhE5ydSUwq Hawaii Emergency Management Agency
LOCATION	Kilauea
PERSON	Trump
ORGANIZATION	NRA
ORGANIZATION	NBCLatino USGS
LOCATION	Kilauea
LOCATION	Hawaii
PERSON	Abbas
LOCATION	Hawaii
LOCATION	Big Island
LOCATION	Kilauea
ORGANIZATION	USGS
PERSON	Trump
LOCATION	Kanye
PERSON	Rudy Giuliani
PERSON	Trump
ORGANIZATION	Disney
LOCATION	China
LOCATION	South
LOCATION	New York
PERSON	Allison Mack
LOCATION	Puerto Rico
ORGANIZATION	National Guard
LOCATION	Ohio National Guardsmen
ORGANIZATION	Kent State Uni
LOCATION	Chicago
