POS	lemma	word
VB	skip	skip
NN	navigationlibrary	navigationLibrary
IN	of	of
NNP	Congress	Congress
NNS	authority	Authorities
NN	amp	amp
NNS	vocabulary	Vocabularies
NN	image	image
NN	library	Library
IN	of	of
NNP	Congress	Congress
VB	ask	Ask
DT	a	a
NN	librarian	Librarian
NNP	Digital	Digital
NNS	collection	Collections
NN	library	Library
NNS	catalog	Catalogs
VB	search	Search
VB	go	GO
DT	the	The
NN	library	Library
IN	of	of
NNP	Congress	Congress
NN	gt	gt
VBN	link	Linked
NNP	Data	Data
NNP	Service	Service
NNP	Digital	Digital
NNS	humanities	humanities
IN	from	From
NN	library	Library
IN	of	of
NNP	Congress	Congress
JJ	subject	Subject
NNS	heading	Headings
NNS	detail	Details
NN	visualization	Visualization
VBP	suggest	Suggest
NN	terminology	Terminology
JJ	digital	Digital
NNS	humanities	humanities
NN	uri	URI
NNS	s	s
VBP	http	http
NN	id	id
NN	loc	loc
NN	gov	gov
NNS	authority	authorities
NNS	subject	subjects
NN	sh2008122106	sh2008122106
NN	info	info
NN	lc	lc
NNS	authority	authorities
VBP	sh2008122106	sh2008122106
NN	http	http
NN	id	id
NNP	loc	loc
NNP	gov	gov
NNP	authorities	authorities
NNP	sh2008122106	sh2008122106
NN	concept	concept
NN	instance	Instance
IN	of	Of
NNP	MADS	MADS
NNP	RDF	RDF
NN	topic	Topic
NNS	mad	MADS
NNP	RDF	RDF
NNP	Authority	Authority
NNP	SKOS	SKOS
NN	concept	Concept
NN	image	image
JJ	offsite	Offsite
NN	link	link
NN	scheme	Scheme
NN	membership	Membership
NNS	s	s
NN	library	Library
IN	of	of
NNP	Congress	Congress
JJ	subject	Subject
NNS	heading	Headings
NN	collection	Collection
NN	membership	Membership
NNS	s	s
JJ	lcsh	LCSH
NN	collection	Collection
VBD	authorize	Authorized
NNS	heading	Headings
JJ	lcsh	LCSH
NN	collection	Collection
JJ	general	General
NN	collection	Collection
NNS	variant	Variants
NN	image	image
PRP	we	us
NNS	humanities	Humanities
NN	information	Information
NN	technology	technology
JJR	broader	Broader
NNS	term	Terms
NN	image	image
PRP	we	us
NNS	humanities	Humanities
RBR	earlier	Earlier
JJ	established	Established
NNS	form	Forms
NNS	humanities	Humanities
NNS	datum	Data
NN	processing	processing
NNS	source	Sources
VBD	find	found
NN	work	Work
NN	cat	cat
NN	computer	Computer
IN	in	in
NN	den	den
NN	geisteswissenschaften	Geisteswissenschaften
NN	c1989	c1989
VBN	find	found
IN	in	In
DT	the	the
NNS	shadow	shadows
IN	of	of
DT	the	the
NNP	digital	digital
NNS	humanities	humanities
NN	c2014	c2014
NN	p	p
CD	iv	iv
DT	the	the
NNS	contributor	contributors
TO	to	to
DT	this	this
NN	issue	issue
NN	approach	approach
DT	the	the
NNP	digital	digital
NNS	humanities	humanities
IN	from	from
RB	radically	radically
JJ	different	different
NNS	perspective	perspectives
VBN	find	found
NN	crompton	Crompton
NN	constance	Constance
VBG	do	Doing
NNP	digital	digital
NNS	humanities	humanities
CD	2016	2016
NN	t	t
NN	p	p
NNP	digital	digital
NNS	humanities	humanities
VBD	find	found
NNP	Oxford	Oxford
NNS	dictionary	dictionaries
VBD	view	viewed
NNP	Jan	Jan
CD	25	25
CD	2016	2016
NNP	Digital	Digital
NNS	humanities	humanities
DT	a	An
JJ	academic	academic
NN	field	field
VBN	concern	concerned
IN	with	with
DT	the	the
NN	application	application
IN	of	of
JJ	computational	computational
NNS	tool	tools
CC	and	and
NNS	method	methods
TO	to	to
JJ	traditional	traditional
NNS	humanities	humanities
NNS	discipline	disciplines
JJ	such	such
IN	as	as
NN	literature	literature
NN	history	history
CC	and	and
NN	philosophy	philosophy
VBD	find	found
NNP	Getty	Getty
NNP	art	art
CC	and	and
NNP	architecture	architecture
NN	thesaurus	thesaurus
NNP	Jan	Jan
CD	25	25
CD	2016	2016
NNP	Digital	Digital
NNS	humanities	humanities
NN	research	Research
NN	study	study
NN	teaching	teaching
NN	publication	publication
CC	and	and
JJ	other	other
NN	dissemination	dissemination
IN	of	of
NN	information	information
IN	in	in
DT	the	the
NNS	humanities	humanities
WDT	that	that
VBZ	be	is
VBN	mediate	mediated
IN	through	through
NNP	digital	digital
NNP	technology	technology
PRP	it	It
VBZ	be	is
DT	a	an
VBG	evolve	evolving
NN	area	area
IN	of	of
NN	study	study
VBG	use	using
VBG	compute	computing
NNS	technology	technologies
TO	to	to
VB	investigate	investigate
NNS	question	questions
CC	and	and
NNS	area	areas
IN	of	of
NN	research	research
WDT	that	that
VBP	be	are
DT	both	both
JJ	traditional	traditional
CC	and	and
JJ	new	new
TO	to	to
DT	the	the
NNS	humanities	humanities
VBD	find	found
NNS	flander	Flanders
NNP	Julia	Julia
NN	encyclopedia	Encyclopedia
IN	of	of
NN	library	library
CC	and	and
NN	information	information
NN	science	science
CD	3rd	3rd
NNP	ed	ed
CD	2011	2011
NNP	digital	digital
NNS	humanities	humanities
NN	article	article
NN	abstract	abstract
NNP	Digital	Digital
NNS	humanities	humanities
VBZ	be	is
DT	a	a
JJ	recent	recent
CC	and	and
RB	rapidly	rapidly
VBG	evolve	evolving
NN	field	field
PRP	it	It
VBZ	include	includes
DT	the	the
NN	range	range
IN	of	of
NNS	activity	activities
CC	and	and
NNS	project	projects
VBN	associate	associated
IN	with	with
DT	the	the
NN	use	use
IN	of	of
NNP	digital	digital
NNP	technologies	technologies
IN	for	for
NNS	humanities	humanities
NN	research	research
NN	change	Change
VBZ	note	Notes
CD	2008	2008
NN	04	04
CD	25	25
JJ	new	new
CD	2016	2016
NNP	05	05
CD	11	11
VBN	revise	revised
JJ	alternate	Alternate
NNS	format	Formats
NN	rdf	RDF
NN	xml	XML
NNS	mad	MADS
CC	and	and
NNS	sko	SKOS
NN	n	N
NNS	triple	Triples
NNS	mad	MADS
CC	and	and
NNS	sko	SKOS
NN	json	JSON
NNS	mad	MADS
NNP	RDF	RDF
CC	and	and
NNP	SKOS	SKOS
NNP	RDF	RDF
NNP	MADS	MADS
NNP	RDF	RDF
NN	xml	XML
NNS	mad	MADS
NN	n	N
NNS	triple	Triples
NNS	mad	MADS
NNP	RDF	RDF
NNP	JSON	JSON
NNP	SKOS	SKOS
NNP	RDF	RDF
NN	xml	XML
NNS	sko	SKOS
NN	n	N
NNS	triple	Triples
NNS	sko	SKOS
NN	json	JSON
NNS	mad	MADS
NN	xml	XML
NNP	MARC	MARC
NN	xml	XML
VBP	suggest	Suggest
NN	terminology	terminology
DT	the	The
NN	lc	LC
VBN	link	Linked
NNP	Data	Data
NNP	Service	Service
VBZ	welcome	welcomes
DT	any	any
NNS	suggestion	suggestions
PRP	you	you
MD	might	might
