POS	lemma	word
VBG	untangle	Untangling
NN	text	Text
NNS	datum	Data
NN	mining	Mining
FW	marti	Marti
DT	a	A
NNP	Hearst	Hearst
NN	school	School
IN	of	of
NN	information	Information
NN	management	Management
NN	amp	amp
NNS	system	Systems
NNP	University	University
IN	of	of
NNP	California	California
NNP	Berkeley	Berkeley
CD	102	102
NNP	South	South
NNP	Hall	Hall
NNP	Berkeley	Berkeley
MD	can	CA
VB	94720	94720
CD	4600	4600
NNP	http	http
NNP	www	www
NNP	sims	sims
NNP	berkeley	berkeley
NNP	edu	edu
NNP	hearst	hearst
DT	this	This
NN	paper	paper
VBZ	appear	appears
IN	in	in
DT	the	the
NNS	proceedings	Proceedings
IN	of	of
NN	acl	ACL
CD	99	99
DT	the	the
JJ	37th	37th
JJ	annual	Annual
NN	meeting	Meeting
IN	of	of
DT	the	the
NN	association	Association
IN	for	for
JJ	computational	Computational
NNS	linguistics	Linguistics
NN	university	University
IN	of	of
NNP	Maryland	Maryland
NNP	June	June
CD	20	20
CD	26	26
CD	1999	1999
VBN	invite	invited
NN	paper	paper
NN	abstract	Abstract
DT	the	The
NNS	possibility	possibilities
IN	for	for
NNS	datum	data
NN	mining	mining
IN	from	from
JJ	large	large
NN	text	text
NNS	collection	collections
VBP	be	are
RB	virtually	virtually
JJ	untapped	untapped
NN	text	Text
VBZ	express	expresses
DT	a	a
JJ	vast	vast
JJ	rich	rich
NN	range	range
IN	of	of
NN	information	information
CC	but	but
VBZ	encode	encodes
DT	this	this
NN	information	information
IN	in	in
DT	a	a
NN	form	form
WDT	that	that
VBZ	be	is
JJ	difficult	difficult
TO	to	to
VB	decipher	decipher
RB	automatically	automatically
RB	perhaps	Perhaps
IN	for	for
DT	this	this
NN	reason	reason
EX	there	there
VBZ	have	has
VBN	be	been
JJ	little	little
NN	work	work
IN	in	in
NN	text	text
NNS	datum	data
NN	mining	mining
TO	to	to
NN	date	date
CC	and	and
JJS	most	most
NNS	people	people
WP	who	who
VBP	have	have
VBN	talk	talked
IN	about	about
PRP	it	it
VBP	have	have
CC	either	either
VBD	conflate	conflated
PRP	it	it
IN	with	with
NN	information	information
NN	access	access
CC	or	or
VB	have	have
RB	not	not
VBN	make	made
NN	use	use
IN	of	of
NN	text	text
RB	directly	directly
TO	to	to
VB	discover	discover
RB	heretofore	heretofore
JJ	unknown	unknown
NN	information	information
IN	in	In
DT	this	this
NN	paper	paper
PRP	I	I
MD	will	will
RB	first	first
VB	define	define
NNS	datum	data
VBG	mine	mining
NN	information	information
NN	access	access
CC	and	and
NN	corpus	corpus
VBN	base	based
JJ	computational	computational
NNS	linguistics	linguistics
CC	and	and
RB	then	then
VBP	discuss	discuss
DT	the	the
NN	relationship	relationship
IN	of	of
DT	these	these
TO	to	to
VB	text	text
NNS	datum	data
VBG	mine	mining
DT	the	The
NN	intent	intent
IN	behind	behind
DT	these	these
VBZ	contrast	contrasts
VBZ	be	is
TO	to	to
VB	draw	draw
NN	attention	attention
TO	to	to
JJ	exciting	exciting
JJ	new	new
NNS	kind	kinds
IN	of	of
NNS	problem	problems
IN	for	for
JJ	computational	computational
NNS	linguist	linguists
PRP	I	I
VBP	describe	describe
NNS	example	examples
IN	of	of
WP	what	what
PRP	I	I
VBP	consider	consider
TO	to	to
VB	be	be
JJ	real	real
NN	text	text
NNS	datum	data
NN	mining	mining
NNS	effort	efforts
CC	and	and
NN	briefly	briefly
NN	outline	outline
PRP$	we	our
JJ	recent	recent
NNS	idea	ideas
IN	about	about
WRB	how	how
TO	to	to
VB	pursue	pursue
NNP	exploratory	exploratory
NNP	data	data
NN	analysis	analysis
IN	over	over
NN	text	text
NN	bookmark	bookmark
NN	section00010000000000000000	SECTION00010000000000000000
NN	introduction	Introduction
DT	the	The
JJ	nascent	nascent
NN	field	field
IN	of	of
NN	text	text
NNS	datum	data
NN	mining	mining
NN	tdm	TDM
VBZ	have	has
DT	the	the
JJ	peculiar	peculiar
NN	distinction	distinction
IN	of	of
VBG	have	having
DT	a	a
NN	name	name
CC	and	and
DT	a	a
JJ	fair	fair
NN	amount	amount
IN	of	of
NN	hype	hype
CC	but	but
RB	as	as
RB	yet	yet
RB	almost	almost
DT	no	no
NNS	practitioner	practitioners
PRP	I	I
VBP	suspect	suspect
DT	this	this
VBZ	have	has
VBN	happen	happened
IN	because	because
NNS	people	people
VBP	assume	assume
NN	tdm	TDM
VBZ	be	is
DT	a	a
JJ	natural	natural
NN	extension	extension
IN	of	of
DT	the	the
RB	slightly	slightly
JJR	less	less
JJ	nascent	nascent
NN	field	field
IN	of	of
NNS	datum	data
NN	mining	mining
NN	dm	DM
RB	also	also
VBN	know	known
IN	as	as
NN	knowledge	knowledge
NN	discovery	discovery
IN	in	in
NNS	database	databases
NNP	Fayyad	Fayyad
CC	and	and
NNP	Uthurusamy1999	Uthurusamy1999
CC	and	and
NNP	information	information
NNP	archeology	archeology
