type	entity
PERSON	Henry David Thoreau
ORGANIZATION	Navy Yard
PERSON	Paley
PERSON	Paley
PERSON	Paley
LOCATION	Mexico
PERSON	Paley
LOCATION	Massachusetts
LOCATION	Massachusetts
LOCATION	South
LOCATION	Mexico
LOCATION	Washington
PERSON	Franklin
LOCATION	Mexico
LOCATION	Baltimore
LOCATION	America
ORGANIZATION	Mutual Insurance
LOCATION	Mexico
ORGANIZATION	State
ORGANIZATION	State
ORGANIZATION	State
ORGANIZATION	State
LOCATION	States
PERSON	Christ
PERSON	Copernicus
PERSON	Luther
LOCATION	Washington
ORGANIZATION	Franklin
ORGANIZATION	State
ORGANIZATION	State
ORGANIZATION	State
ORGANIZATION	Legislature
ORGANIZATION	State
LOCATION	Massachusetts
ORGANIZATION	State
LOCATION	Massachusetts
LOCATION	America
ORGANIZATION	State
LOCATION	Carolina
LOCATION	Massachusetts
ORGANIZATION	State
ORGANIZATION	Legislature
LOCATION	Massachusetts
ORGANIZATION	State
ORGANIZATION	State
ORGANIZATION	State
ORGANIZATION	State
PERSON	Christ
LOCATION	Caesar
PERSON	Caesar
PERSON	Caesar
PERSON	Caesar
ORGANIZATION	State
LOCATION	Turkey
PERSON	Confucius
LOCATION	Massachusetts
LOCATION	Massachusetts
ORGANIZATION	State
ORGANIZATION	State
ORGANIZATION	Church
ORGANIZATION	State
PERSON	Henry Thoreau
ORGANIZATION	State
ORGANIZATION	State
LOCATION	Concord
ORGANIZATION	State
ORGANIZATION	State
ORGANIZATION	State
ORGANIZATION	State
ORGANIZATION	State
ORGANIZATION	State
PERSON	Webster
LOCATION	States
LOCATION	America
LOCATION	States
LOCATION	America
ORGANIZATION	Congress
LOCATION	America
ORGANIZATION	State
